county,year,population_pred,upper,lower
Fulton,2025,1070981.5714285714,1084723.1102538162,1057240.0326033265
Fulton,2026,1070981.5714285714,1084723.1102538162,1057240.0326033265
Fulton,2027,1070981.5714285714,1084723.1102538162,1057240.0326033265
Fulton,2028,1070981.5714285714,1084723.1102538162,1057240.0326033265
Fulton,2029,1070981.5714285714,1084723.1102538162,1057240.0326033265
Fulton,2030,1070981.5714285714,1084723.1102538162,1057240.0326033265
Fulton,2031,1070981.5714285714,1084723.1102538162,1057240.0326033265
Fulton,2032,1070981.5714285714,1084723.1102538162,1057240.0326033265
Fulton,2033,1070981.5714285714,1084723.1102538162,1057240.0326033265
Fulton,2034,1070981.5714285714,1084723.1102538162,1057240.0326033265
