county,year,population_pred,lower,upper
Fulton,2025,1100593.1497253107,1097290.9104053378,1103861.3228815952
Fulton,2026,1109409.4706691336,1098321.3414125298,1119408.2046504028
Fulton,2027,1118225.7916129567,1096606.633666467,1138695.811754131
Fulton,2028,1127042.1125567795,1094271.810644994,1158642.2690137806
Fulton,2029,1135882.587804558,1092108.7494326448,1180400.4645231317
Fulton,2030,1144698.9087483808,1085444.194321809,1203649.7774068974
Fulton,2031,1153515.229692204,1076063.1605018082,1227261.0489501783
Fulton,2032,1162331.5506360268,1066551.553904112,1252716.0899425196
Fulton,2033,1171172.0258838052,1058987.8442902889,1280746.8579698096
Fulton,2034,1179988.3468276283,1048661.654932258,1307447.7140858334
